course_code,course_name,course_type,group,scheduled,semester,day,start_time,end_time,lecturer,room,status,prerequisites,linked_courses
40130,אבטחת איכות,סופי-הרצאה+תרגול,264013005,True,קיץ,ב,17:00,18:50,גב' כהנא דפנה,201 פיקוס,פנוי,"[{""required"": ""הסקה סטטיסטית"", ""alternative"": ""סטטיסטיקה""}, {""required"": ""הסקה סטטיסטית"", ""alternative"": ""הסקה סטטיסטית""}]","[""264013005"", ""264013005/1""]"
40130,אבטחת איכות,סופי-הרצאה+תרגול,264013005,True,קיץ,ג,17:00,18:50,גב' כהנא דפנה,101 פיקוס,פנוי,"[{""required"": ""הסקה סטטיסטית"", ""alternative"": ""סטטיסטיקה""}, {""required"": ""הסקה סטטיסטית"", ""alternative"": ""הסקה סטטיסטית""}]","[""264013005"", ""264013005/1""]"
40130,אבטחת איכות,תרגול,264013005/1,True,קיץ,ב,19:00,19:50,גב' כהנא דפנה,201 פיקוס,פנוי,"[{""required"": ""הסקה סטטיסטית"", ""alternative"": ""סטטיסטיקה""}, {""required"": ""הסקה סטטיסטית"", ""alternative"": ""הסקה סטטיסטית""}]",[]
40130,אבטחת איכות,תרגול,264013005/1,True,קיץ,ג,19:00,19:50,גב' כהנא דפנה,101 פיקוס,פנוי,"[{""required"": ""הסקה סטטיסטית"", ""alternative"": ""סטטיסטיקה""}, {""required"": ""הסקה סטטיסטית"", ""alternative"": ""הסקה סטטיסטית""}]",[]
10313,אבטחת מידע,סופי-הרצאה+תרגול,261031308,False,,,,,,,פנוי,"[{""required"": ""תקשורת מחשבים לתוכנה"", ""alternative"": null}, {""required"": ""אלגברה ליניארית"", ""alternative"": null}, {""required"": ""מבוא להסתברות"", ""alternative"": null}]","[""261031308"", ""261031308/1""]"
10313,אבטחת מידע,תרגול,261031308/1,False,,,,,,,פנוי,"[{""required"": ""תקשורת מחשבים לתוכנה"", ""alternative"": null}, {""required"": ""אלגברה ליניארית"", ""alternative"": null}, {""required"": ""מבוא להסתברות"", ""alternative"": null}]",[]
30150,אלקטרוניקה,סופי-הרצאה+תרגול,263015005,True,קיץ,א,17:00,19:50,מר נמני יגאל,202 פיקוס,פנוי,"[{""required"": ""מבוא להנדסת חשמל ואלקטרוניקה"", ""alternative"": ""הנדסת חשמל 1""}, {""required"": ""אלקטרוניקה"", ""alternative"": null}]","[""263015005"", ""263015005/1""]"
30150,אלקטרוניקה,סופי-הרצאה+תרגול,263015005,True,קיץ,ה,17:00,19:50,מר נמני יגאל,208 פיקוס,פנוי,"[{""required"": ""מבוא להנדסת חשמל ואלקטרוניקה"", ""alternative"": ""הנדסת חשמל 1""}, {""required"": ""אלקטרוניקה"", ""alternative"": null}]","[""263015005"", ""263015005/1""]"
30150,אלקטרוניקה,תרגול,263015005/1,True,קיץ,א,20:00,21:50,מר נמני יגאל,202 פיקוס,פנוי,"[{""required"": ""מבוא להנדסת חשמל ואלקטרוניקה"", ""alternative"": ""הנדסת חשמל 1""}, {""required"": ""אלקטרוניקה"", ""alternative"": null}]",[]
30150,אלקטרוניקה,תרגול,263015005/1,True,קיץ,ה,20:00,21:50,מר נמני יגאל,208 פיקוס,פנוי,"[{""required"": ""מבוא להנדסת חשמל ואלקטרוניקה"", ""alternative"": ""הנדסת חשמל 1""}, {""required"": ""אלקטרוניקה"", ""alternative"": null}]",[]
20304,אלקטרוניקה ספרתית,סופי-הרצאה+תרגול,262030401,True,קיץ,ד,17:00,18:50,גב' ליבסטר אירנה,115 פיקוס,מלא,"[{""required"": ""מערכות ספרתיות"", ""alternative"": ""מערכות ספרתיות""}, {""required"": ""אלקטרוניקה תקבילית"", ""alternative"": ""מעגלים אלקטרוניים אנלוגיים1""}]","[""262030401"", ""262030401/1""]"
20304,אלקטרוניקה ספרתית,סופי-הרצאה+תרגול,262030401,True,קיץ,ה,17:00,18:50,גב' ליבסטר אירנה,115 פיקוס,מלא,"[{""required"": ""מערכות ספרתיות"", ""alternative"": ""מערכות ספרתיות""}, {""required"": ""אלקטרוניקה תקבילית"", ""alternative"": ""מעגלים אלקטרוניים אנלוגיים1""}]","[""262030401"", ""262030401/1""]"
20304,אלקטרוניקה ספרתית,סופי-הרצאה+תרגול,262030401,True,קיץ,ה,19:00,22:50,גב' ליבסטר אירנה,115 פיקוס,מלא,"[{""required"": ""מערכות ספרתיות"", ""alternative"": ""מערכות ספרתיות""}, {""required"": ""אלקטרוניקה תקבילית"", ""alternative"": ""מעגלים אלקטרוניים אנלוגיים1""}]","[""262030401"", ""262030401/1""]"
20304,אלקטרוניקה ספרתית,תרגול,262030401/1,True,קיץ,ד,19:00,20:50,גב' ליבסטר אירנה,115 פיקוס,מלא,"[{""required"": ""מערכות ספרתיות"", ""alternative"": ""מערכות ספרתיות""}, {""required"": ""אלקטרוניקה תקבילית"", ""alternative"": ""מעגלים אלקטרוניים אנלוגיים1""}]",[]
